ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw
5.126.136.213,2,2,2.0,0.0869565217391304,23.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2729068832344626
5.126.156.206,2,1,1.0,0.0101522842639593,197.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.26111719886935125
5.126.170.223,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.126.179.130,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27458555541544266
5.126.179.29,16,11,8.0,0.0158730158730158,67.2,13,13,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.2366921439407222
5.126.184.248,2,2,2.0,0.3333333333333333,6.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2750249841454396
5.126.2.54,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.126.236.235,4,2,2.0,0.0186915887850467,71.33333333333333,4,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27015299382472313
5.126.248.226,6,6,6.0,0.064516129032258,18.6,6,27,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2505807285369482
5.126.29.183,4,2,2.0,0.0124223602484472,107.33333333333331,4,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.267137463489789
5.126.36.43,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.126.43.100,4,4,4.0,0.2666666666666666,5.0,4,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.26922064197624246
5.126.43.40,2,2,2.0,0.0714285714285714,28.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2729068832344626
5.126.60.10,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.126.78.24,1,1,1.0,1.0,0.0,1,2,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2663234326004844
5.126.80.184,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.126.83.232,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.126.85.235,4,4,4.0,0.0333333333333333,40.0,4,10,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.26588014968399937
5.126.91.7,1,1,1.0,1.0,0.0,1,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2757846831061332
5.126.96.220,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.127.101.194,2,2,2.0,0.4,5.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27392319194713416
5.127.103.225,2,2,2.0,0.0444444444444444,45.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27210129533899946
5.127.11.222,1,1,1.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2646730848767229
5.127.132.49,35,21,17.5,0.1277372262773722,8.058823529411764,35,53,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2101538972108294
5.127.147.205,3,2,1.5,0.0087719298245614,171.0,3,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2610513044934495
5.127.173.144,35,28,17.5,0.4666666666666667,2.2058823529411766,35,28,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.21453473492679775
5.127.177.153,9,9,9.0,0.1125,10.0,8,21,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.240395921629104
5.127.182.189,49,49,49.0,0.7313432835820896,1.3958333333333333,47,48,0,0.0,0.0,0.0,1.0,0.0,3,0,0,0.0,0.0,0.0,1,0.17379770039190168
5.127.184.215,2,2,2.0,2.0,1.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2536539520553533
5.127.189.90,4,4,4.0,0.1538461538461538,8.666666666666666,4,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.26880042499390033
5.127.192.243,6,6,6.0,6.0,0.0,6,14,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.19635612216709408
5.127.202.106,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.127.215.170,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.127.223.190,40,40,40.0,0.4444444444444444,2.3076923076923075,40,42,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.20096814221829784
5.127.227.69,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.127.231.1,2,2,2.0,0.1333333333333333,15.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2738215632615118
