ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts
5.217.215.166,2,2,2.0,0.03076923076923077,65.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.252.36,1,1,1.0,1.0,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.255.226,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.27.203,1,1,1.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.48.193,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.49.106,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.77.104,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.87.191,5,4,2.5,0.017985611510791366,69.5,5,10,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.119.74,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.120.203,3,3,3.0,0.10714285714285714,14.0,3,10,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
5.218.130.216,79,78,39.5,0.4540229885057471,2.230769230769231,73,69,0,0.02564102564102564,0.0,0.0,1.0,0.0,5,0,0,0.0,0.0,0.0
5.218.139.61,47,45,23.5,0.018280824581874758,55.891304347826086,43,38,0,0.0,0.0,0.0,1.0,0.0,4,0,0,0.0,0.0,0.0
5.218.140.148,25,25,25.0,0.5813953488372093,1.7916666666666667,25,34,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.159.103,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.168.241,2,1,1.0,0.0027100271002710027,738.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.170.136,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.183.113,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
5.218.19.51,2,2,2.0,0.058823529411764705,34.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.197.163,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.45.236,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.57.233,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.66.219,4,4,4.0,4.0,0.3333333333333333,2,5,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0
5.218.7.36,46,46,46.0,1.2105263157894737,0.8444444444444444,45,42,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0
5.218.77.244,52,52,52.0,0.9811320754716981,1.0392156862745099,36,34,0,0.0,0.0,0.0,1.0,0.0,3,0,0,0.0,0.0,0.0
5.218.8.5,3,3,3.0,0.23076923076923078,6.5,3,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.218.99.225,1,1,1.0,1.0,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.219.107.88,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.219.188.95,4,2,2.0,0.005044136191677175,264.3333333333333,4,11,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.219.210.54,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.219.94.195,12,12,12.0,0.23076923076923078,4.7272727272727275,12,29,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.232.126.16,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.232.168.53,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.232.198.156,4,4,4.0,0.09523809523809523,14.0,4,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.232.243.220,88,88,88.0,7.333333333333333,0.13793103448275862,88,47,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
5.232.26.104,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.232.9.178,8,4,4.0,0.04020100502512563,28.428571428571427,8,21,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.233.15.222,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.233.155.15,4,3,2.0,0.11764705882352941,11.333333333333334,4,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.233.210.202,24,12,12.0,0.007619047619047619,136.95652173913044,6,0,12,0.5,0.0,0.0,0.16666666666666666,0.0,6,0,0,0.0,0.0,0.0
5.233.22.140,2,2,2.0,2.0,1.0,2,4,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
5.233.25.75,2,2,2.0,0.15384615384615385,13.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.234.128.240,2,2,2.0,0.10526315789473684,19.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.234.17.24,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.234.213.72,4,4,4.0,0.03278688524590164,40.666666666666664,4,11,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.235.227.104,17,17,17.0,0.14285714285714285,7.4375,17,11,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.235.30.67,26,26,26.0,1.4444444444444444,0.72,26,29,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.236.109.175,1,1,1.0,1.0,0.0,1,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.236.128.80,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.236.137.15,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.236.231.13,2,2,2.0,0.15384615384615385,13.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.236.33.140,51,33,25.5,0.21888412017167383,4.66,40,49,0,0.0,0.0,0.0,1.0,0.0,6,0,0,0.0,0.0,0.0
5.237.104.53,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.237.115.244,14,14,14.0,1.0769230769230769,1.0,14,17,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.237.147.137,1,1,1.0,1.0,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.237.18.117,1132,153,80.85714285714286,0.2680558844423396,3.7338638373121134,860,715,0,0.22727272727272727,0.0,0.0,1.0,0.0008833922261484099,143,0,0,0.0,0.0,0.0
5.238.48.28,41,41,41.0,2.9285714285714284,0.35,40,37,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0
5.238.92.23,36,36,36.0,0.42857142857142855,2.4,36,38,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.239.105.26,2,2,2.0,0.038461538461538464,52.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.239.38.238,6,3,2.0,0.013422818791946308,89.4,6,13,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.239.4.180,1,1,1.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.239.50.9,2,2,2.0,0.06451612903225806,31.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.239.52.96,2,1,1.0,0.017241379310344827,116.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.45.207.88,4,1,1.0,0.000711490572749911,1874.0,4,17,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0
5.52.143.122,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.52.144.244,1,1,1.0,1.0,0.0,1,13,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.52.243.133,2,2,2.0,0.2222222222222222,9.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.52.71.25,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.62.160.31,2,2,2.0,2.0,1.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.62.197.241,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.62.206.249,3,2,1.5,0.0004725897920604915,3174.0,3,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.62.216.90,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.62.222.160,162,92,54.0,0.2617124394184168,3.8447204968944098,138,126,0,0.02564102564102564,0.0,0.0,1.0,0.012345679012345678,16,0,0,0.0,0.0,0.0
5.72.16.75,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.72.172.59,2,2,2.0,0.1111111111111111,18.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
