ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw,dbscan_label,ae_prediction,ae_reconstruction_error,iso_anomaly_score,dbscan_anomaly_score,ae_anomaly_score,risk_score,risk_level
5.116.175.151,1,1,1.0,1.0,0.0,1,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2741455647486506,0,1,0.0021689642908641,0,0,0,0.0,Low
5.116.188.167,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.116.191.180,2,2,2.0,0.0222222222222222,90.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2694179360165681,0,1,0.0035091337833846,0,0,0,0.0,Low
5.116.197.11,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868827405415,0,0,0,0.0,Low
5.116.199.189,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.116.202.186,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.116.222.247,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.116.227.150,22,22,22.0,2.0,0.5238095238095238,22,18,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2031879083463242,0,1,0.0258669673900969,0,0,0,0.0,Low
5.116.227.167,2,2,2.0,0.0769230769230769,26.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2729068832344626,0,1,0.0026515944748167,0,0,0,0.0,Low
5.116.228.149,70,70,70.0,0.7692307692307693,1.318840579710145,66,68,0,0.0,0.0,0.0,1.0,0.0,5,0,0,0.0,0.0,0.0,1,0.1037228571750177,0,1,0.0826705081219938,0,0,0,0.0,Low
